2,4,436.7,746.7,77.3,324.7
3,4,436.7,747.9,76.3,321.6
4,4,437.2,751.5,74.9,314.5
4,6,1064.6,266.2,46.4,78.9
5,6,1064.5,266.4,45.4,77.8
5,4,435.3,743.4,78.6,328.6
6,4,437.9,745.8,74.0,322.7
6,6,1064.3,266.4,45.7,77.8
7,4,435.7,746.4,79.0,323.1
7,6,1064.3,266.4,45.6,77.3
8,4,437.0,742.1,75.4,328.8
8,6,1064.3,266.0,46.1,78.4
9,4,437.9,741.6,69.2,327.0
9,6,1064.1,266.0,46.2,77.9
10,6,1064.2,266.0,45.8,77.9
10,4,436.5,740.4,68.5,328.5
11,6,1064.4,266.4,45.0,77.2
11,4,437.1,739.0,65.0,330.5
12,6,1063.7,266.4,46.3,77.4
12,4,433.3,740.9,78.0,330.9
13,4,434.3,740.5,77.6,329.1
13,6,1064.2,266.3,46.7,77.8
14,6,1064.8,266.7,45.4,77.0
15,6,1065.1,266.3,45.1,77.9
16,6,1064.9,266.4,45.5,77.7
17,6,1065.1,266.4,44.9,77.1
18,6,1064.8,266.0,45.1,77.4
19,6,1064.4,266.5,44.9,77.2
20,6,1064.3,266.5,45.1,77.3
21,6,1064.3,266.5,45.3,77.3
22,6,1064.2,266.5,45.5,77.4
23,6,1064.1,266.5,45.7,77.5
24,6,1064.1,266.5,45.9,77.5
25,6,1064.0,266.4,46.1,77.6
26,6,1064.0,266.4,46.3,77.7
27,6,1063.9,266.4,46.5,77.7
28,6,1063.9,266.4,46.6,77.8
29,6,1063.8,266.4,46.8,77.9
30,6,1063.8,266.4,47.0,77.9
31,6,1063.7,266.3,47.2,78.0
32,6,1063.7,266.3,47.4,78.1
33,6,1063.6,266.3,47.6,78.2
34,6,1063.6,266.3,47.8,78.2
35,6,1063.5,266.3,48.0,78.3
36,6,1063.5,266.3,48.1,78.4
37,6,1063.4,266.3,48.3,78.4
38,6,1063.8,266.1,47.2,78.5
39,6,1063.8,265.9,46.9,79.2
40,6,1063.8,266.0,47.0,79.2
41,6,1063.3,266.5,48.0,77.8
42,6,1063.2,266.3,48.2,78.4
43,6,1062.5,265.9,49.5,78.6
44,6,1063.1,265.4,48.5,79.0
85,6,1064.5,268.2,43.8,74.5
86,6,1064.5,268.1,43.2,73.9
87,6,1064.4,268.0,44.3,74.5
88,6,1064.3,268.5,43.9,74.3
89,6,1064.3,268.3,43.8,74.0
90,6,1065.2,261.7,42.9,72.9
91,6,1064.8,267.0,43.4,73.8
92,6,1064.4,268.3,43.5,73.6
93,6,1065.2,261.5,42.6,72.5
94,6,1065.2,262.0,42.7,73.6
95,6,1065.2,262.5,42.8,74.7
96,6,1065.3,263.0,42.8,75.8
97,6,1065.3,263.6,42.9,76.9
98,6,1065.3,264.1,43.0,78.0
99,6,1065.3,264.6,43.0,79.0
100,6,1065.4,265.1,43.1,80.1
101,6,1065.4,265.7,43.2,81.2
102,6,1065.6,265.9,42.7,80.3
103,6,1066.0,266.2,42.0,79.2
104,6,1065.8,266.2,42.3,79.2
105,6,1065.5,266.5,42.7,78.7
106,6,1065.6,266.3,42.7,78.9
107,6,1065.0,266.3,43.8,79.1
108,6,1065.2,266.2,43.8,79.2
109,6,1065.2,257.9,42.7,77.2
110,6,1065.2,258.2,42.8,77.3
111,6,1065.2,258.6,42.9,77.3
112,6,1065.1,259.0,42.9,77.4
113,6,1065.1,259.4,43.0,77.4
114,6,1065.1,259.7,43.1,77.5
115,6,1065.1,260.1,43.1,77.5
116,6,1065.0,260.5,43.2,77.6
117,6,1065.0,260.8,43.3,77.6
118,6,1065.0,261.2,43.3,77.7
119,6,1065.0,261.6,43.4,77.7
120,6,1065.0,262.0,43.5,77.8
121,6,1064.9,262.3,43.5,77.9
122,6,1064.9,262.7,43.6,77.9
123,6,1064.9,263.1,43.7,78.0
124,6,1064.9,263.5,43.7,78.0
125,6,1064.9,263.8,43.8,78.1
126,6,1064.8,264.2,43.9,78.1
127,6,1064.8,264.6,43.9,78.2
128,6,1064.8,265.0,44.0,78.2
129,6,1064.8,265.3,44.1,78.3
130,6,1064.9,265.0,44.0,78.7
131,6,1065.3,257.7,43.3,76.8
132,6,1065.2,265.0,43.1,78.8
133,6,1064.7,264.9,44.6,78.7
134,6,1064.6,264.9,44.7,79.2
135,6,1064.8,264.8,44.7,79.3
136,6,1064.6,264.7,45.0,79.3
137,6,1064.8,264.8,44.9,79.3
138,6,1064.8,264.9,44.9,79.1
139,6,1065.0,264.6,44.4,79.2
